Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1 (s),Ch0_time2 (s),Ch0_amp2 (V),Ch0_width2 (s),Ch1_time1 (s),Ch1_amp1 (V),Ch1_width1 (s),Ch1_time2 (s),Ch1_amp2 (V),Ch1_width2 (s)
2.708e-06,0.060914,5.801621e-08,0.0,0.0,0.0,2.74e-06,0.073936,6.55106e-08,0.0,0.0,0.0
2.66e-06,0.276576,6.529143e-08,0.0,0.0,0.0,2.68e-06,0.302069,7.159699e-08,0.0,0.0,0.0
2.68e-06,0.133516,6.808267e-08,0.0,0.0,0.0,2.716e-06,0.062383,6.634485e-08,0.0,0.0,0.0
2.628e-06,0.374216,7.04671e-08,0.0,0.0,0.0,2.652e-06,0.372466,7.004708e-08,0.0,0.0,0.0
2.684e-06,0.158872,6.290299e-08,0.0,0.0,0.0,2.72e-06,0.048995,6.281221e-08,0.0,0.0,0.0
2.692e-06,0.108381,6.056453e-08,0.0,0.0,0.0,2.72e-06,0.066588,7.021331e-08,0.0,0.0,0.0
2.652e-06,0.32568,6.460298e-08,0.0,0.0,0.0,2.688e-06,0.076562,6.532322e-08,0.0,0.0,0.0
2.7e-06,0.078022,6.077743e-08,0.0,0.0,0.0,2.716e-06,0.240494,6.394058e-08,0.0,0.0,0.0
2.656e-06,0.346277,6.16883e-08,0.0,0.0,0.0,2.684e-06,0.1217,7.224751e-08,0.0,0.0,0.0
2.684e-06,0.160064,6.021487e-08,0.0,0.0,0.0,2.704e-06,0.252157,6.785221e-08,0.0,0.0,0.0
2.704e-06,0.074505,6.269355e-08,0.0,0.0,0.0,2.736e-06,0.054539,7.241925e-08,0.0,0.0,0.0
2.708e-06,0.073179,6.473519e-08,0.0,0.0,0.0,2.724e-06,0.112856,6.545717e-08,0.0,0.0,0.0
2.64e-06,0.265934,7.486133e-08,0.0,0.0,0.0,2.668e-06,0.109988,6.028381e-08,0.0,0.0,0.0
2.66e-06,0.320287,6.08026e-08,0.0,0.0,0.0,2.692e-06,0.067641,8.782119e-08,0.0,0.0,0.0
2.704e-06,0.077358,5.818817e-08,0.0,0.0,0.0,2.724e-06,0.127891,6.663236e-08,0.0,0.0,0.0
2.672e-06,0.171916,6.398255e-08,0.0,0.0,0.0,2.7e-06,0.123936,5.900179e-08,0.0,0.0,0.0
2.648e-06,0.27824,7.247127e-08,0.0,0.0,0.0,2.676e-06,0.17175,6.854349e-08,0.0,0.0,0.0
2.664e-06,0.251443,6.383257e-08,0.0,0.0,0.0,2.688e-06,0.138711,6.881622e-08,0.0,0.0,0.0
2.64e-06,0.362371,6.520684e-08,0.0,0.0,0.0,2.672e-06,0.318381,7.727284e-08,0.0,0.0,0.0
2.676e-06,0.129106,6.819611e-08,0.0,0.0,0.0,2.7e-06,0.073374,7.772335e-08,0.0,0.0,0.0
2.688e-06,0.125863,6.023006e-08,0.0,0.0,0.0,2.708e-06,0.205579,6.209016e-08,0.0,0.0,0.0
2.692e-06,0.138742,5.915801e-08,0.0,0.0,0.0,2.732e-06,0.067779,6.655012e-08,0.0,0.0,0.0
2.716e-06,0.059446,5.79987e-08,0.0,0.0,0.0,2.724e-06,0.296396,6.543866e-08,0.0,0.0,0.0
2.668e-06,0.138352,7.51008e-08,0.0,0.0,0.0,2.684e-06,0.42717,7.106304e-08,0.0,0.0,0.0
2.712e-06,0.085889,6.319792e-08,0.0,0.0,0.0,2.728e-06,0.079323,6.551886e-08,0.0,0.0,0.0
